2017-10-10 01:12:49 install file:amd64 <none> 1:5.22+15-2+deb8u3
2017-10-10 01:12:49 status half-installed file:amd64 1:5.22+15-2+deb8u3
2017-10-10 01:12:49 status unpacked file:amd64 1:5.22+15-2+deb8u3
2017-10-10 01:12:49 status unpacked file:amd64 1:5.22+15-2+deb8u3
2017-10-10 01:12:49 install m4:amd64 <none> 1.4.17-4
2017-10-10 01:12:49 status half-installed m4:amd64 1.4.17-4
2017-10-10 01:12:49 status unpacked m4:amd64 1.4.17-4
2017-10-10 01:12:49 status unpacked m4:amd64 1.4.17-4
2017-10-10 01:12:49 install patch:amd64 <none> 2.7.5-1
2017-10-10 01:12:49 status half-installed patch:amd64 2.7.5-1
2017-10-10 01:12:49 status unpacked patch:amd64 2.7.5-1
2017-10-10 01:12:49 status unpacked patch:amd64 2.7.5-1
2017-10-10 01:12:49 install xz-utils:amd64 <none> 5.1.1alpha+20120614-2+b3
2017-10-10 01:12:49 status half-installed xz-utils:amd64 5.1.1alpha+20120614-2+b3
2017-10-10 01:12:49 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2017-10-10 01:12:49 status unpacked xz-utils:amd64 5.1.1alpha+20120614-2+b3
2017-10-10 01:12:49 install autoconf:all <none> 2.69-8
2017-10-10 01:12:49 status half-installed autoconf:all 2.69-8
2017-10-10 01:12:49 status unpacked autoconf:all 2.69-8
2017-10-10 01:12:49 status unpacked autoconf:all 2.69-8
2017-10-10 01:12:49 install binutils:amd64 <none> 2.25-5+deb8u1
2017-10-10 01:12:49 status half-installed binutils:amd64 2.25-5+deb8u1
2017-10-10 01:12:50 status unpacked binutils:amd64 2.25-5+deb8u1
2017-10-10 01:12:50 status unpacked binutils:amd64 2.25-5+deb8u1
2017-10-10 01:12:50 install openssl:amd64 <none> 1.0.1t-1+deb8u6
2017-10-10 01:12:50 status half-installed openssl:amd64 1.0.1t-1+deb8u6
2017-10-10 01:12:50 status unpacked openssl:amd64 1.0.1t-1+deb8u6
2017-10-10 01:12:50 status unpacked openssl:amd64 1.0.1t-1+deb8u6
2017-10-10 01:12:50 install ca-certificates:all <none> 20141019+deb8u3
2017-10-10 01:12:50 status half-installed ca-certificates:all 20141019+deb8u3
2017-10-10 01:12:50 status unpacked ca-certificates:all 20141019+deb8u3
2017-10-10 01:12:50 status unpacked ca-certificates:all 20141019+deb8u3
2017-10-10 01:12:50 install cpp-4.9:amd64 <none> 4.9.2-10
2017-10-10 01:12:50 status half-installed cpp-4.9:amd64 4.9.2-10
2017-10-10 01:12:51 status unpacked cpp-4.9:amd64 4.9.2-10
2017-10-10 01:12:51 status unpacked cpp-4.9:amd64 4.9.2-10
2017-10-10 01:12:51 install cpp:amd64 <none> 4:4.9.2-2
2017-10-10 01:12:51 status half-installed cpp:amd64 4:4.9.2-2
2017-10-10 01:12:51 status unpacked cpp:amd64 4:4.9.2-2
2017-10-10 01:12:51 status unpacked cpp:amd64 4:4.9.2-2
2017-10-10 01:12:51 install curl:amd64 <none> 7.38.0-4+deb8u6
2017-10-10 01:12:51 status half-installed curl:amd64 7.38.0-4+deb8u6
2017-10-10 01:12:51 status unpacked curl:amd64 7.38.0-4+deb8u6
2017-10-10 01:12:51 status unpacked curl:amd64 7.38.0-4+deb8u6
2017-10-10 01:12:51 install libtimedate-perl:all <none> 2.3000-2
2017-10-10 01:12:51 status half-installed libtimedate-perl:all 2.3000-2
2017-10-10 01:12:51 status unpacked libtimedate-perl:all 2.3000-2
2017-10-10 01:12:51 status unpacked libtimedate-perl:all 2.3000-2
2017-10-10 01:12:51 install libdpkg-perl:all <none> 1.17.27
2017-10-10 01:12:51 status half-installed libdpkg-perl:all 1.17.27
2017-10-10 01:12:51 status unpacked libdpkg-perl:all 1.17.27
2017-10-10 01:12:51 status unpacked libdpkg-perl:all 1.17.27
2017-10-10 01:12:51 install make:amd64 <none> 4.0-8.1
2017-10-10 01:12:51 status half-installed make:amd64 4.0-8.1
2017-10-10 01:12:51 status unpacked make:amd64 4.0-8.1
2017-10-10 01:12:51 status unpacked make:amd64 4.0-8.1
2017-10-10 01:12:51 install dpkg-dev:all <none> 1.17.27
2017-10-10 01:12:51 status half-installed dpkg-dev:all 1.17.27
2017-10-10 01:12:51 status unpacked dpkg-dev:all 1.17.27
2017-10-10 01:12:51 status unpacked dpkg-dev:all 1.17.27
2017-10-10 01:12:51 install libgcc-4.9-dev:amd64 <none> 4.9.2-10
2017-10-10 01:12:51 status half-installed libgcc-4.9-dev:amd64 4.9.2-10
2017-10-10 01:12:51 status unpacked libgcc-4.9-dev:amd64 4.9.2-10
2017-10-10 01:12:51 status unpacked libgcc-4.9-dev:amd64 4.9.2-10
2017-10-10 01:12:51 install gcc-4.9:amd64 <none> 4.9.2-10
2017-10-10 01:12:51 status half-installed gcc-4.9:amd64 4.9.2-10
2017-10-10 01:12:52 status unpacked gcc-4.9:amd64 4.9.2-10
2017-10-10 01:12:52 status unpacked gcc-4.9:amd64 4.9.2-10
2017-10-10 01:12:52 install gcc:amd64 <none> 4:4.9.2-2
2017-10-10 01:12:52 status half-installed gcc:amd64 4:4.9.2-2
2017-10-10 01:12:52 status unpacked gcc:amd64 4:4.9.2-2
2017-10-10 01:12:52 status unpacked gcc:amd64 4:4.9.2-2
2017-10-10 01:12:52 install libc-dev-bin:amd64 <none> 2.19-18+deb8u10
2017-10-10 01:12:52 status half-installed libc-dev-bin:amd64 2.19-18+deb8u10
2017-10-10 01:12:52 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2017-10-10 01:12:52 status unpacked libc-dev-bin:amd64 2.19-18+deb8u10
2017-10-10 01:12:52 install linux-libc-dev:amd64 <none> 3.16.43-2+deb8u5
2017-10-10 01:12:52 status half-installed linux-libc-dev:amd64 3.16.43-2+deb8u5
2017-10-10 01:12:52 status unpacked linux-libc-dev:amd64 3.16.43-2+deb8u5
2017-10-10 01:12:52 status unpacked linux-libc-dev:amd64 3.16.43-2+deb8u5
2017-10-10 01:12:52 install libc6-dev:amd64 <none> 2.19-18+deb8u10
2017-10-10 01:12:52 status half-installed libc6-dev:amd64 2.19-18+deb8u10
2017-10-10 01:12:53 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2017-10-10 01:12:53 status unpacked libc6-dev:amd64 2.19-18+deb8u10
2017-10-10 01:12:53 install libstdc++-4.9-dev:amd64 <none> 4.9.2-10
2017-10-10 01:12:53 status half-installed libstdc++-4.9-dev:amd64 4.9.2-10
2017-10-10 01:12:53 status unpacked libstdc++-4.9-dev:amd64 4.9.2-10
2017-10-10 01:12:53 status unpacked libstdc++-4.9-dev:amd64 4.9.2-10
2017-10-10 01:12:53 install g++-4.9:amd64 <none> 4.9.2-10
2017-10-10 01:12:53 status half-installed g++-4.9:amd64 4.9.2-10
2017-10-10 01:12:54 status unpacked g++-4.9:amd64 4.9.2-10
2017-10-10 01:12:54 status unpacked g++-4.9:amd64 4.9.2-10
2017-10-10 01:12:54 install g++:amd64 <none> 4:4.9.2-2
2017-10-10 01:12:54 status half-installed g++:amd64 4:4.9.2-2
2017-10-10 01:12:54 status unpacked g++:amd64 4:4.9.2-2
2017-10-10 01:12:54 status unpacked g++:amd64 4:4.9.2-2
2017-10-10 01:12:54 install libpcre3-dev:amd64 <none> 2:8.35-3.3+deb8u4
2017-10-10 01:12:54 status half-installed libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2017-10-10 01:12:54 status unpacked libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2017-10-10 01:12:54 status unpacked libpcre3-dev:amd64 2:8.35-3.3+deb8u4
2017-10-10 01:12:54 install pkg-config:amd64 <none> 0.28-1
2017-10-10 01:12:54 status half-installed pkg-config:amd64 0.28-1
2017-10-10 01:12:54 status unpacked pkg-config:amd64 0.28-1
2017-10-10 01:12:54 status unpacked pkg-config:amd64 0.28-1
2017-10-10 01:12:54 install re2c:amd64 <none> 0.13.5-1
2017-10-10 01:12:54 status half-installed re2c:amd64 0.13.5-1
2017-10-10 01:12:54 status unpacked re2c:amd64 0.13.5-1
2017-10-10 01:12:54 status unpacked re2c:amd64 0.13.5-1
2017-10-10 01:12:55 startup packages configure
2017-10-10 01:12:55 configure libgdbm3:amd64 1.8.3-13.1 <none>
2017-10-10 01:12:55 status unpacked libgdbm3:amd64 1.8.3-13.1
2017-10-10 01:12:55 status half-configured libgdbm3:amd64 1.8.3-13.1
2017-10-10 01:12:55 status installed libgdbm3:amd64 1.8.3-13.1
2017-10-10 01:12:55 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2017-10-10 01:12:55 configure libssl1.0.0:amd64 1.0.1t-1+deb8u6 <none>
2017-10-10 01:12:55 status unpacked libssl1.0.0:amd64 1.0.1t-1+deb8u6
2017-10-10 01:12:55 status half-configured libssl1.0.0:amd64 1.0.1t-1+deb8u6
2017-10-10 01:12:55 status installed libssl1.0.0:amd64 1.0.1t-1+deb8u6
2017-10-10 01:12:55 configure libbsd0:amd64 0.7.0-2 <none>
2017-10-10 01:12:55 status unpacked libbsd0:amd64 0.7.0-2
2017-10-10 01:12:55 status half-configured libbsd0:amd64 0.7.0-2
2017-10-10 01:12:55 status installed libbsd0:amd64 0.7.0-2
2017-10-10 01:12:55 configure libedit2:amd64 3.1-20140620-2 <none>
2017-10-10 01:12:55 status unpacked libedit2:amd64 3.1-20140620-2
2017-10-10 01:12:55 status half-configured libedit2:amd64 3.1-20140620-2
2017-10-10 01:12:55 status installed libedit2:amd64 3.1-20140620-2
2017-10-10 01:12:55 configure libgmp10:amd64 2:6.0.0+dfsg-6 <none>
2017-10-10 01:12:55 status unpacked libgmp10:amd64 2:6.0.0+dfsg-6
2017-10-10 01:12:55 status half-configured libgmp10:amd64 2:6.0.0+dfsg-6
2017-10-10 01:12:55 status installed libgmp10:amd64 2:6.0.0+dfsg-6
2017-10-10 01:12:55 configure libnettle4:amd64 2.7.1-5+deb8u2 <none>
2017-10-10 01:12:55 status unpacked libnettle4:amd64 2.7.1-5+deb8u2
2017-10-10 01:12:55 status half-configured libnettle4:amd64 2.7.1-5+deb8u2
2017-10-10 01:12:55 status installed libnettle4:amd64 2.7.1-5+deb8u2
2017-10-10 01:12:55 configure libhogweed2:amd64 2.7.1-5+deb8u2 <none>
2017-10-10 01:12:55 status unpacked libhogweed2:amd64 2.7.1-5+deb8u2
2017-10-10 01:12:55 status half-configured libhogweed2:amd64 2.7.1-5+deb8u2
2017-10-10 01:12:55 status installed libhogweed2:amd64 2.7.1-5+deb8u2
2017-10-10 01:12:55 configure libffi6:amd64 3.1-2+deb8u1 <none>
2017-10-10 01:12:55 status unpacked libffi6:amd64 3.1-2+deb8u1
2017-10-10 01:12:55 status half-configured libffi6:amd64 3.1-2+deb8u1
2017-10-10 01:12:55 status installed libffi6:amd64 3.1-2+deb8u1
2017-10-10 01:12:55 configure libp11-kit0:amd64 0.20.7-1 <none>
2017-10-10 01:12:55 status unpacked libp11-kit0:amd64 0.20.7-1
2017-10-10 01:12:55 status half-configured libp11-kit0:amd64 0.20.7-1
2017-10-10 01:12:55 status installed libp11-kit0:amd64 0.20.7-1
2017-10-10 01:12:55 configure libtasn1-6:amd64 4.2-3+deb8u3 <none>
2017-10-10 01:12:55 status unpacked libtasn1-6:amd64 4.2-3+deb8u3
2017-10-10 01:12:55 status half-configured libtasn1-6:amd64 4.2-3+deb8u3
2017-10-10 01:12:55 status installed libtasn1-6:amd64 4.2-3+deb8u3
2017-10-10 01:12:55 configure libgnutls-deb0-28:amd64 3.3.8-6+deb8u7 <none>
2017-10-10 01:12:55 status unpacked libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-10-10 01:12:55 status half-configured libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-10-10 01:12:55 status installed libgnutls-deb0-28:amd64 3.3.8-6+deb8u7
2017-10-10 01:12:55 configure libkeyutils1:amd64 1.5.9-5+b1 <none>
2017-10-10 01:12:55 status unpacked libkeyutils1:amd64 1.5.9-5+b1
2017-10-10 01:12:55 status half-configured libkeyutils1:amd64 1.5.9-5+b1
2017-10-10 01:12:55 status installed libkeyutils1:amd64 1.5.9-5+b1
2017-10-10 01:12:55 configure libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2 <none>
2017-10-10 01:12:55 status unpacked libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:55 status half-configured libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:55 status installed libkrb5support0:amd64 1.12.1+dfsg-19+deb8u2
2017-10-10 01:12:55 configure libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2 <none>
2017-10-10 01:12:55 status unpacked libk5crypto3:amd64 1.12.1+dfsg-19+deb8u2
